condition,jd_tdb,date_tdb,astronomical_year,era,display_year,month,day,time_tdb,calendar,outer_body,outer_orbit_index,outer_phase,perihelion_jd_tdb,perihelion_date_tdb,perihelion_q_km,outer_distance_km,delta_outer_km,inner_distance_km,residual_km,roots_in_orbit
3_6,264454.007115781948,3989 BCE-01-14 12:10:15,-3988,BCE,3989,1,14,12:10:15,Julian,saturn,0,Approaching perihelion,256990.843967764580,4010 BCE-08-09 08:15:19,1321077262.510481595993,1470211874.408393859863,149134611.897912263870,149134611.897897183895,-0.000010281801,1
3_6,271128.878847960266,3971 BCE-04-24 09:05:32,-3970,BCE,3971,4,24,09:05:32,Julian,saturn,1,Receding from perihelion,267713.921192573733,3981 BCE-12-17 10:06:31,1322309993.033904790878,1474708891.070119380951,152398898.036214590073,152398898.036215156317,-0.000010281801,2
3_6,275289.765270635136,3960 BCE-09-14 06:21:59,-3959,BCE,3960,9,14,06:21:59,Julian,saturn,1,Approaching perihelion,267713.921192573733,3981 BCE-12-17 10:06:31,1322309993.033904790878,1469808633.168244838715,147498640.134340047836,147498640.134340524673,-0.000010281801,2
3_6,281825.527170845016,3942 BCE-08-07 00:39:08,-3941,BCE,3942,8,7,00:39:08,Julian,saturn,2,Receding from perihelion,278538.529280490766,3951 BCE-08-07 00:42:10,1321904747.054362773895,1471030521.652514219284,149125774.598151445389,149125774.598135173321,-0.000010281801,2
3_6,285988.134309754649,3931 BCE-12-29 15:13:24,-3930,BCE,3931,12,29,15:13:24,Julian,saturn,2,Approaching perihelion,278538.529280490766,3951 BCE-08-07 00:42:10,1321904747.054362773895,1470297659.054322481155,148392911.999959707260,148392911.999955564737,-0.000010281801,2
3_6,292696.106969588553,3912 BCE-05-11 14:34:02,-3911,BCE,3912,5,11,14:34:02,Julian,saturn,3,Receding from perihelion,289258.908195000608,3922 BCE-12-13 09:47:48,1322974587.988792181015,1475284445.980637311935,152309857.991845130920,152309857.991845458746,-0.000010281801,2
3_6,296712.722331945493,3901 BCE-05-10 05:20:09,-3900,BCE,3901,5,10,05:20:09,Julian,saturn,3,Approaching perihelion,289258.908195000608,3922 BCE-12-13 09:47:48,1322974587.988792181015,1475299494.043414831161,152324906.054622650146,152324906.054620325565,-0.000010281801,2
3_6,303388.691379576805,3883 BCE-08-20 04:35:35,-3882,BCE,3883,8,20,04:35:35,Julian,saturn,4,Receding from perihelion,300081.850726131059,3892 BCE-07-31 08:25:03,1322938292.782763481140,1471467513.665520191193,148529220.882756710052,148529220.882752597332,-0.000010281801,2
3_6,307514.212473657972,3872 BCE-12-05 17:05:58,-3871,BCE,3872,12,5,17:05:58,Julian,saturn,4,Approaching perihelion,300081.850726131059,3892 BCE-07-31 08:25:03,1322938292.782763481140,1470404641.402076244354,147466348.619312763214,147466348.619312256575,-0.000010281801,2
3_6,314250.989696890290,3853 BCE-05-16 11:45:10,-3852,BCE,3853,5,16,11:45:10,Julian,saturn,5,Receding from perihelion,310797.352765709395,3863 BCE-12-01 20:27:59,1323496194.083182334900,1475743460.784490585327,152247266.701308250427,152247266.701307684183,-0.000010281801,2
3_6,318215.706081282289,3842 BCE-03-25 04:56:45,-3841,BCE,3842,3,25,04:56:45,Julian,saturn,5,Approaching perihelion,310797.352765709395,3863 BCE-12-01 20:27:59,1323496194.083182334900,1475454805.704939126968,151958611.621756792068,151958611.621758699417,-0.000010281801,2
3_6,324948.065529048734,3824 BCE-08-29 13:34:22,-3823,BCE,3824,8,29,13:34:22,Julian,saturn,6,Receding from perihelion,321610.990519336890,3833 BCE-07-10 11:46:21,1324179032.513741493225,1472314159.306030988693,148135126.792289495468,148135126.792288899422,-0.000010281801,2
3_6,329019.285654420208,3813 BCE-10-21 18:51:21,-3812,BCE,3813,10,21,18:51:21,Julian,saturn,6,Approaching perihelion,321610.990519336890,3833 BCE-07-10 11:46:21,1324179032.513741493225,1470990558.708242893219,146811526.194501399994,146811526.194503366947,-0.000010281801,2
3_6,335802.186212375760,3794 BCE-05-18 16:28:09,-3793,BCE,3794,5,18,16:28:09,Julian,saturn,7,Receding from perihelion,332328.604900149221,3804 BCE-11-13 02:31:03,1324205602.522156715393,1476432713.278994083405,152227110.756837368011,152227110.756836086512,-0.000010281801,2
3_6,339727.633906724222,3783 BCE-02-15 03:12:50,-3782,BCE,3783,2,15,03:12:50,Julian,saturn,7,Approaching perihelion,332328.604900149221,3804 BCE-11-13 02:31:03,1324205602.522156715393,1474771912.240783452988,150566309.718626737595,150566309.718629181385,-0.000010281801,2
3_6,346499.049878213089,3765 BCE-08-30 13:11:49,-3764,BCE,3765,8,30,13:11:49,Julian,saturn,8,Receding from perihelion,343132.773348638148,3774 BCE-06-13 06:33:37,1325192088.644033432007,1473300407.860206127167,148108319.216172695160,148108319.216175794601,-0.000010281801,2
3_6,350395.549476988672,3754 BCE-05-02 01:11:15,-3753,BCE,3754,5,2,01:11:15,Julian,saturn,8,Approaching perihelion,343132.773348638148,3774 BCE-06-13 06:33:37,1325192088.644033432007,1477574939.539185285568,152382850.895151853561,152382850.895152091980,-0.000010281801,2
3_6,357337.778604978113,3735 BCE-05-04 06:41:11,-3734,BCE,3735,5,4,06:41:11,Julian,saturn,9,Receding from perihelion,353845.173004972166,3745 BCE-10-10 16:09:08,1324828597.759696483612,1477204426.731775045395,152375828.972078561783,152375828.972077935934,-0.000010281801,2
3_6,361238.378544818901,3724 BCE-01-06 21:05:06,-3723,BCE,3724,1,6,21:05:06,Julian,saturn,9,Approaching perihelion,353845.173004972166,3745 BCE-10-10 16:09:08,1324828597.759696483612,1473531142.734903097153,148702544.975206613541,148702544.975204050541,-0.000010281801,2
